Club,Name,market_value
RB Salzburg,Lucas Gourna-Douath,13
OGC Nice,Mattia Viti,13
Fulham,Sasa Lukic,9.8
Bor. Dortmund,Salih Özcan,5
Chelsea,Andrey Santos,12.5
Southampton,Roméo Lavia,12.3
Tigres UANL,Fernando Gorriarán,12.2
Marseille,Pau López,12
Leeds,Maximilian Wöber,12
Leeds,Marc Roca,12
OGC Nice,Alexis Beka Beka,12
TSG Hoffenheim,Stanley Nsoki,12
Chelsea,David Datro Fofana,12
Crystal Palace,Naouirou Ahamada,12
Crystal Palace,Chris Richards,12
Sassuolo,Agustín Álvarez,12
Lazio,Luís Maximiano,10.26
FC Porto,Gabriel Veron,10.25
Real Betis,Willian José,10
Ajax,Owen Wijndal,10
FC Porto,Marko Grujic,9
Torino,Samuele Ricci,8.5
Fiorentina,Antonin Barak,8.5
Brighton,Billy Gilmour,8.33
Real Betis,Luiz Henrique,8
1.FSV Mainz 05,Angelo Fulgini,6
Liverpool,Fábio Carvalho,5.9
Fenerbahce,João Pedro,4.68
Everton,Idrissa Gueye,4
Galatasaray,Sérgio Oliveira,3
Trabzonspor,Maxi Gómez,3
Bournemouth,Marcus Tavernier,11.9
Lens,Loïs Openda,11.8
Brighton,Julio Enciso,11.6
OGC Nice,Youssouf Ndayishimiye,11.5
Man City,Máximo Perrone,11
Wolves,Mario Lemina,11
Olympique Lyon,Amin Sarr,11
Burnley,Lyle Foster,11
Bologna,Joshua Zirkzee,8.5
Sassuolo,Matheus Henrique,7
1.FSV Mainz 05,Ludovic Ajorque,6
Olympique Lyon,Nicolás Tagliafico,4.2
West Ham,Flynn Downes,10.65
Norwich,Gabriel Sara,10.5
Everton,James Garner,10.4
Bournemouth,Antoine Semenyo,10.25
Tigres UANL,Nicolás Ibáñez,10.1
Bournemouth,Dango Ouattara,22.5
Southampton,Armel Bella-Kotchap,11
VfL Wolfsburg,Jakub Kaminski,10
Marseille,Luis Suárez,10
Sporting CP,Rúben Vinagre,10
Nottm Forest,Giulian Biancone,10
Olympique Lyon,Jeffinho,10
Stade Reims,Junya Ito,10
Getafe,Borja Mayoral,10
Atalanta BC,Ademola Lookman,9.2
FC Empoli,Guglielmo Vicario,8.5
Fiorentina,Rolando Mandragora,8.2
Ajax,Gerónimo Rulli,8
Palmeiras,Artur,8
Southampton,Joe Aribo,7.1
Udinese Calcio,Beto,7
TSG Hoffenheim,Ozan Kabak,7
Al-Rayyan SC,Sofiane Boufal,6
Southampton,Mislav Orsic,5.75
Hellas Verona,Gianluca Caprari,5
Leeds,Wilfried Gnonto,4.5
Trabzonspor,Mahmoud Trezeguet,4
Valencia,Hugo Duro,4
Fenerbahce,Michy Batshuayi,3.5
E. Frankfurt,Mario Götze,3
Galatasaray,Léo Dubois,2.5
Columbus,Cucho Hernández,9.55
Benfica,João Victor,9.5
Ajax,Ahmetcan Kaplan,9.5
Fulham,Andreas Pereira,9.5
Palmeiras,José Manuel López,9.5
Portland,Evander,9.5
Nottm Forest,Lewis O'Brien,9.4
West Ham,Alphonse Areola,9.3
Chelsea,Gabriel Slonina,9.09
Bor. M'gladbach,Jonas Omlin,9
Rennes,Christopher Wooh,9
Benfica,Andreas Schjelderup,9
Monza,Andrea Colpani,9
Union Berlin,Josip Juranovic,8.55
Bologna,Jhon Lucumí,8
